Startup Data
name,city,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_first_milestone_year,funding_rounds,funding_total_usd,category_code,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status
RatePoint,Needham,9/1/2006,2/2/2012,1/29/2007,8/20/2010,0.411,4.2521,4,24500000,software,0,0,1,1,1,0,2.5,1,closed
Digital Performance,Newport Beach,1/1/2002,10/1/2012,11/27/2006,2/5/2010,4.9068,,3,4476171,advertising,1,0,1,0,0,0,2.0,1,closed
Gowalla,Austin,8/28/2007,,2/27/2008,1/28/2010,0.5014,2.8192,3,10400001,web,0,0,1,1,0,0,6.0,1,acquired
Copan Systems,Longmont,1/1/2002,,3/8/2006,2/17/2009,4.1836,5.0027,3,68400000,network_hosting,1,0,0,0,1,1,6.5,1,acquired
Replay Solutions,Redwood City,1/1/2004,,12/5/2006,8/18/2008,2.9288,,2,15200000,software,0,0,1,1,0,0,2.0,1,acquired
Turf Geography Club,New York,1/1/2011,2/1/2013,8/15/2011,8/2/2012,0.6192,,2,890000,mobile,0,1,0,0,0,0,3.0,1,closed
skyrockit,San Francisco,1/1/2001,4/1/2012,7/12/2011,7/12/2011,10.5315,,1,2600000,mobile,1,0,0,0,0,0,1.0,1,closed
Cartavi,Naperville,1/1/2009,,11/13/2012,11/13/2012,3.8685,3.8301,1,1226270,enterprise,0,1,0,0,0,0,1.0,1,acquired
Cramster,Pasadena,1/1/2002,,9/25/2008,4/14/2010,6.737,6.7534,2,9000000,web,0,0,1,1,0,0,1.0,0,acquired
Certify Data Systems,San Jose,1/1/2004,,8/25/2008,2/15/2012,4.6521,6.0055,4,7210210,enterprise,1,0,1,1,0,0,1.0,0,acquired
Wheelz,San Francisco,1/1/2011,,9/28/2011,2/22/2012,0.7397,0.5808,2,15700000,automotive,0,0,1,0,0,0,3.0,1,acquired
CentrePath,Waltham,1/1/2000,,9/6/2005,4/24/2006,5.6849,5.0055,2,15050000,software,1,0,0,0,1,0,2.5,1,acquired
VoxPop Network Corporation,San Francisco,8/1/2006,,5/1/2007,5/1/2009,0.7479,1.5836,2,3500000,games_video,0,0,1,1,0,0,3.0,1,acquired
OpVista,Milpitas,1/1/2000,8/1/2009,6/22/2006,5/7/2007,6.4767,5.0055,2,43000000,software,0,0,0,0,1,1,1.0,1,closed
Metaweb Technologies,San Francisco,1/1/2005,,3/1/2006,1/15/2008,1.1616,3.2658,2,57000000,web,0,0,1,1,0,0,3.5,1,acquired
DocVerse,San Francisco,9/1/2007,,7/23/2008,7/23/2008,0.8932,0.8329,1,1300000,web,0,1,0,0,0,0,4.0,1,acquired
Veoh,San Diego,1/1/2004,,7/1/2005,6/3/2008,1.4986,4.0877,4,69750000,games_video,0,0,1,1,1,1,5.0,1,acquired
BzzAgent,Boston,1/1/2001,,1/1/2004,1/1/2006,3.0,9.6247,2,14500000,advertising,0,1,0,1,0,0,2.0,1,acquired
Hammerhead Systems,Mountain View,1/1/2002,3/23/2009,1/31/2006,8/1/2007,4.0849,,2,48000000,hardware,0,0,0,0,1,1,6.0,1,closed
ThermalTherapeuticSystems,Pittsburgh,6/1/2006,3/13/2013,12/1/2009,11/9/2011,3.5041,,2,3508462,medical,1,0,1,0,0,0,3.0,1,closed
GuardianEdge Technologies,San Mateo,1/1/2002,,6/6/2005,7/23/2007,3.4301,7.8384,3,19500000,software,0,0,1,1,0,0,3.3333,1,acquired
Gradient X,Santa Monica,1/1/2012,,6/20/2012,6/20/2012,0.4685,1.1041,1,3750000,mobile,0,0,0,0,0,0,9.0,1,acquired
ezzai - how to arabia,Warrenville,8/1/2010,8/1/2011,8/1/2010,8/1/2010,0.0,,1,45000000,web,0,0,0,0,0,0,2.0,0,closed
rPath,Raleigh,4/1/2005,5/1/2013,1/24/2006,10/22/2010,0.8164,4.5562,4,32500000,enterprise,0,0,1,1,1,1,2.75,1,closed
Boomi,Berwyn,3/1/2000,,1/1/2002,7/1/2008,1.8384,5.674,2,4900000,enterprise,0,1,0,1,0,0,1.5,1,acquired
VoloMedia,Sunnyvale,1/1/2005,2/3/2011,4/20/2007,3/18/2008,2.2986,3.5945,2,12000000,advertising,0,0,0,1,1,0,2.0,1,closed
Flixster,San Francisco,1/20/2006,,2/1/2006,4/4/2008,0.0329,4.5151,3,7175000,web,0,1,1,1,0,0,2.6667,1,acquired
Wesabe,San Francisco,12/1/2005,6/30/2010,2/1/2007,6/1/2007,1.1699,0.0849,2,4700000,web,0,1,1,0,0,0,1.5,1,closed
OfferLounge,Morgan Hill,1/1/2008,5/1/2010,1/1/2008,1/1/2008,0.0,,1,120000,public_relations,0,1,0,0,0,0,2.0,0,closed
NeoEdge Networks,Mountain View,5/2/2002,,6/8/2007,12/20/2010,5.1041,5.6712,3,10000000,advertising,1,0,0,1,0,0,1.6667,0,acquired
SemiSouth Laboratories,Austin,7/1/2000,6/1/2013,6/14/2005,10/22/2010,4.9562,,4,39000000,semiconductor,1,0,1,0,0,0,3.0,0,closed
Camiant,Marlborough,1/1/2003,,3/29/2005,1/11/2007,2.2411,,2,16100000,software,0,0,0,1,1,0,2.5,1,acquired
NuConomy,San Francisco,1/1/2006,,4/1/2007,2/1/2008,1.2466,2.4986,2,3300000,advertising,0,1,1,0,0,0,2.0,1,acquired
Flowtown,San Francisco,2/1/2009,,8/25/2010,8/25/2010,1.5616,1.2438,1,750000,analytics,0,1,0,0,0,0,9.0,1,acquired
GlobalCrypto,Atlanta,6/1/2006,7/6/2012,11/11/2008,11/11/2008,2.4493,,2,1000000,software,1,1,0,0,0,0,2.0,0,closed
Bioenvision,New York,1/1/1996,8/13/2009,4/30/2007,4/30/2007,11.3342,,1,7410000,biotech,1,0,0,0,0,0,3.0,1,closed
Teranetics,San Jose,1/1/2000,,11/21/2006,5/27/2010,6.8932,,3,52800000,semiconductor,1,0,0,0,1,0,5.3333,1,acquired
WebVisible,Playa Vista,1/1/2001,10/1/2011,9/1/2005,2/11/2010,4.6685,9.7534,3,37000000,software,0,0,1,1,1,0,1.3333,1,closed
GoodGuide,San Francisco,12/1/2007,,1/19/2009,8/26/2011,1.137,2.463,3,14229998,web,0,0,1,1,0,0,3.0,1,acquired
ViVu,Cupertino,1/1/2009,,9/21/2009,6/9/2011,0.7205,0.7671,2,3000000,messaging,0,0,1,1,0,0,2.5,1,acquired
avVenta,New York,1/1/2005,,1/14/2009,1/14/2009,4.0384,6.0027,1,20000000,advertising,0,0,1,0,0,0,1.0,0,acquired
DiJiPOP,Providence,11/1/2008,,8/1/2009,12/6/2010,0.7479,1.6548,2,2000000,advertising,0,1,0,0,0,0,1.5,1,acquired
Layer 7 Technologies,Washington,1/1/2003,,10/26/2006,2/2/2009,3.8192,9.0055,2,19900000,software,1,0,0,1,0,0,2.0,1,acquired
DeliveryEdge,San Francisco,9/1/2006,4/1/2009,12/1/2007,12/1/2007,1.2493,2.589,1,1500000,ecommerce,0,0,0,0,0,0,1.0,0,closed
Solmentum,San Francisco,7/1/2009,11/9/2011,7/1/2009,7/1/2009,0.0,1.2521,1,325000,cleantech,0,1,0,0,0,0,4.0,0,closed
Pipewise,San Francisco,9/1/2010,10/1/2012,2/17/2011,2/17/2011,0.463,1.2795,1,3500000,enterprise,0,0,1,0,0,0,5.0,1,closed
GridNetworks,Seattle,1/1/2004,8/17/2012,1/1/2006,5/20/2008,2.0027,1.5836,4,30000000,network_hosting,0,1,1,1,0,0,2.0,1,closed
MAP Pharmaceuticals,Mountain View,1/1/2003,,3/28/2007,3/28/2007,4.2384,,1,50000000,biotech,0,0,0,0,0,1,6.0,1,acquired
"ORCA, Inc.",New York,1/1/2008,,6/21/2009,6/21/2009,1.4712,1.0027,1,2000000,ecommerce,0,0,1,0,0,0,3.0,1,acquired
Amobee,Redwood City,5/1/2005,,11/1/2006,3/1/2011,1.5041,6.1699,6,72000000,advertising,1,0,1,1,1,1,2.3333,1,acquired
KOTURA,Monterey Park,1/1/2004,,9/7/2005,11/5/2009,1.6849,8.4219,3,27690547,cleantech,0,0,0,1,1,1,4.5,1,acquired
Auvitek International,Plano,3/1/2004,2/20/2011,5/9/2006,5/9/2006,2.189,,1,9000000,semiconductor,0,0,0,1,0,0,4.0,1,closed
Outright,Mountain View,6/1/2008,,11/1/2008,11/18/2009,0.4192,3.1315,2,7500000,enterprise,0,0,1,0,0,0,3.5,1,acquired
Phurnace Software,Austin,1/1/2007,,9/11/2007,7/1/2008,0.6932,3.4164,2,10000000,software,0,0,1,0,0,0,2.0,1,acquired
FastSoft,Pasadena,1/1/2006,,6/11/2007,9/4/2012,1.4411,2.0,4,5965000,software,1,0,1,0,0,0,1.0,0,acquired
GrandCentral,Fremont,4/1/2006,,1/1/2006,1/1/2006,-0.2466,-0.4082,1,4000000,mobile,0,0,1,0,0,0,1.0,0,acquired
Speedshape,Bingham Farms,1/1/2003,8/1/2013,2/20/2008,2/20/2008,5.1397,7.0055,1,5000000,advertising,1,0,0,0,0,0,1.0,0,closed
BlueLithium,San Jose,1/1/2004,,2/1/2005,2/1/2005,1.0877,5.0959,1,11500000,advertising,0,0,1,0,0,0,2.0,1,acquired
Media Chaperone,Chicago,1/1/2009,6/1/2013,1/14/2010,2/24/2011,1.0356,1.5808,2,1050000,web,1,0,0,0,0,0,1.0,0,closed
Giant Realm,New York,1/1/2007,,3/1/2008,5/8/2008,1.1644,1.3507,2,5500000,web,0,0,1,0,0,0,2.0,1,acquired
Invite Media,Philadelphia,2/1/2007,,12/1/2007,12/1/2009,0.8301,1.0877,3,5000000,advertising,0,1,1,0,0,0,1.6667,1,acquired
UpMo,Mountain View,1/1/2011,7/1/2013,12/13/2009,8/17/2011,-1.0521,-1.3589,2,3700000,enterprise,1,0,0,0,0,0,3.0,0,closed
Appscio,Freedom,1/1/2006,1/1/2011,3/20/2007,1/3/2009,1.2137,,2,7000000,software,0,0,1,0,0,0,2.0,0,closed
Eons,Boston,1/1/2005,5/17/2012,4/1/2006,3/1/2007,1.2466,2.0,2,32000000,network_hosting,0,0,1,1,0,0,3.5,1,closed
LocaModa,Cambridge,1/1/2007,,9/18/2007,3/25/2011,0.7123,2.6685,3,7900000,advertising,0,0,1,0,0,0,2.0,0,acquired
Meraki,San Francisco,4/1/2006,,12/1/2006,7/10/2012,0.6685,2.7945,5,80000000,network_hosting,0,1,1,1,1,1,2.25,1,acquired
MPOWER Mobile,Austin,1/1/2005,6/8/2012,10/28/2009,10/28/2009,4.8247,0.2466,1,5000000,mobile,1,0,0,0,0,0,1.0,1,closed
Haute Secure,Seattle,1/1/2006,,1/1/2007,3/9/2009,1.0,2.4301,2,2100000,security,0,1,1,0,0,0,1.5,1,acquired
Intelliworks,Bethesda,12/1/2004,,2/14/2005,4/24/2009,0.2055,3.4164,4,22250000,enterprise,0,0,1,1,1,1,2.5,1,acquired
Meridian,Portland,3/1/2011,,9/14/2011,8/30/2012,0.5397,-14.1699,2,1975000,enterprise,1,1,0,0,0,0,3.0,0,acquired
Kluster,New York,1/1/2008,,1/1/2008,1/1/2008,0.0,3.5918,1,1000000,web,0,1,0,0,0,0,1.0,1,acquired
International Battery,Allentown,1/1/2008,3/1/2013,5/6/2010,5/6/2010,2.3452,,1,35000000,cleantech,0,0,0,0,1,0,1.0,0,closed
Jingle Networks,New York,9/1/2005,,10/1/2005,12/28/2009,0.0822,3.663,7,88651133,mobile,1,1,1,1,1,1,3.1667,1,acquired
SemEquip,North Billerica,1/1/2000,,8/4/2005,8/4/2005,5.5945,,1,26000000,semiconductor,1,0,0,0,0,0,2.0,1,acquired
ItsGoinOn,Los Angeles,5/1/2010,11/1/2011,1/1/2011,1/1/2011,0.6712,0.0,1,100000,games_video,0,1,0,0,0,0,1.0,0,closed
mSnap,Denver,6/1/2005,,6/1/2006,6/1/2006,1.0,3.811,1,5000000,mobile,0,0,1,0,0,0,1.0,1,acquired
Biofisica,Duluth,1/1/2000,4/26/2012,10/31/2006,4/21/2008,6.8356,,2,7300000,biotech,1,0,1,0,0,0,3.0,1,closed
Ardian,Mountain View,1/1/2003,,1/1/2005,3/23/2009,2.0027,4.0027,3,64080000,biotech,0,0,1,1,1,0,4.0,1,acquired
Tracelytics,Providence,7/1/2010,,11/3/2011,3/22/2012,1.3425,-0.0822,2,5800000,enterprise,0,1,1,0,0,0,4.0,1,acquired
Canopy Financial,San Francisco,1/1/2004,8/27/2009,1/1/2008,10/1/2009,4.0027,5.9233,4,89500000,finance,0,0,0,1,1,0,1.0,1,closed
Kyte,San Francisco,12/1/2006,,7/1/2007,3/1/2012,0.5808,3.0877,4,23350000,games_video,0,1,1,1,0,0,3.0,1,acquired
Ounce Labs,Waltham,10/1/2002,,6/8/2006,9/16/2008,3.6877,,2,13500000,software,1,0,0,0,1,0,2.5,1,acquired
Crossbeam Systems,Boxborough,1/1/2000,,5/8/2007,2/14/2008,7.3534,11.0329,2,24500000,security,0,0,0,0,0,0,5.5,1,acquired
PacketHop,Redwood City,1/1/2002,1/4/2013,8/8/2005,8/8/2005,3.6027,3.0027,1,10000000,public_relations,0,0,0,0,1,0,4.0,1,closed
Inaura,Salt Lake City,1/1/2007,7/19/2012,1/6/2005,1/6/2005,-1.9863,,1,8500000,other,1,0,0,0,0,0,1.0,0,closed
DynaPump,The Woodlands,1/1/1992,11/12/2011,5/29/2008,5/29/2008,16.4192,,1,6000000,cleantech,0,0,0,1,0,0,3.0,0,closed
Immunet Corporation,Palo Alto,7/1/2008,,11/1/2009,11/1/2009,1.337,1.3479,1,2000000,software,0,0,1,0,0,0,2.0,1,acquired
CopperEgg Corporation,Austin,6/1/2010,,7/12/2011,5/8/2012,1.1123,0.0,2,4100000,enterprise,0,0,1,0,0,0,1.5,1,acquired
Wink,Mountain View,8/19/2004,,1/1/2005,1/1/2005,0.3699,1.9507,1,6200000,search,0,0,1,0,0,0,2.0,1,acquired
PopularMedia,San Francisco,1/1/2003,,2/1/2007,7/28/2008,4.0877,4.0027,2,12250000,advertising,0,0,0,1,1,0,2.5,1,acquired
Miyowa,San Francisco,4/14/2003,,9/4/2006,5/8/2008,3.3945,5.7233,2,11725600,mobile,0,0,1,1,0,0,2.0,1,acquired
Intrusic,Burlington,1/1/2001,2/19/2007,4/25/2005,10/30/2006,4.3151,,2,16000000,software,0,0,1,1,0,0,3.0,1,closed
Dashwire,Seattle,8/11/2006,,1/31/2009,12/28/2010,2.4767,3.3945,3,5056559,mobile,1,0,1,0,0,0,1.6667,1,acquired
Reddit,San Francisco,1/1/2005,,6/1/2005,6/1/2005,0.4137,6.8329,1,100000,web,0,1,0,0,0,0,1.0,1,acquired
Pure Digital Technologies,San Francisco,9/1/2001,,1/1/2004,8/18/2008,2.3342,4.0027,3,68200000,hardware,1,1,0,0,0,0,4.0,1,acquired
Voxify,Alameda,1/1/2001,,2/1/2005,4/21/2010,4.0877,6.0027,3,33000000,enterprise,1,0,0,1,0,1,3.6667,1,acquired
EvoApp,Durham,1/1/2009,1/1/2013,10/15/2010,4/20/2012,1.7863,2.0822,3,3352194,analytics,0,1,1,0,0,0,9.5,0,closed
Visual Revenue,New York,3/1/2010,,7/28/2011,1/26/2012,1.4082,-0.1616,2,2212000,analytics,0,1,1,0,0,0,3.0,1,acquired
Calibra Medical,Redwood City,1/1/2004,,11/24/2009,4/15/2011,5.9014,,4,19800000,biotech,1,0,0,0,0,1,5.0,1,acquired
Offermatic,San Mateo,2/1/2010,6/1/2013,12/1/2010,3/9/2011,0.8301,1.1014,2,4500000,web,0,1,1,0,0,0,3.0,1,closed
HiWired,Needham,1/1/2004,,1/1/2008,1/2/2008,4.0027,4.0027,2,14000000,software,1,0,0,1,0,0,1.5,1,acquired
DateMyFamily.com,Weston,11/11/2011,1/1/2013,12/1/2011,12/1/2011,0.0548,0.0685,1,100000,social,0,1,0,0,0,0,1.0,0,closed
Hyperic,Palo Alto,1/1/2004,,5/10/2006,6/5/2007,2.3562,3.0027,2,9900000,software,0,0,1,1,0,0,2.0,1,acquired
Optimal,San Francisco,1/1/2008,,1/1/2008,1/22/2013,0.0,5.0055,3,7600000,advertising,0,0,1,1,0,0,5.0,1,acquired
SendMeHome.com,Santa Barbara,7/1/2008,6/4/2012,7/1/2008,7/1/2008,0.0,0.737,1,50000,games_video,0,1,0,0,0,0,2.0,0,closed
Q-magic,Palo Alto,2/1/2007,11/29/2011,1/1/2007,1/1/2007,-0.0849,,1,650000,public_relations,0,1,0,0,0,0,1.0,0,closed
Geodelic Systems,Los Angeles,1/1/2008,1/1/2011,12/1/2008,9/23/2010,0.9178,2.4164,3,10500000,mobile,1,0,1,1,0,0,2.0,1,closed
BlockBeacon,Santa Monica,1/1/2012,,6/21/2012,6/21/2012,0.4712,0.0,1,500000,web,0,1,0,0,0,0,1.0,0,acquired
PostPath,Mountain View,1/1/2003,,12/7/2004,1/16/2007,1.9342,2.0027,2,24300000,web,0,0,0,1,1,0,2.5,1,acquired
Attune Systems,Santa Clara,1/1/1999,2/12/2009,6/27/2006,11/14/2006,7.4904,7.0055,2,18000000,hardware,1,0,0,1,0,0,4.0,1,closed
TokBox,San Francisco,5/1/2007,,12/26/2007,11/15/2010,0.6548,3.8438,3,26000000,messaging,0,0,1,1,1,0,3.6667,1,acquired
Avega Systems,Mountain View,1/1/2005,1/1/2012,4/1/2007,1/13/2010,2.2466,,2,9500000,hardware,1,0,0,1,0,0,3.0,1,closed
Heartscape,Columbia,1/1/2000,10/15/2009,4/24/2007,4/24/2007,7.3151,5.0055,1,16980999,biotech,0,0,0,1,0,0,1.0,1,acquired
PeerMe,Mountain View,1/1/2004,2/3/2009,1/1/2005,1/1/2005,1.0027,1.1644,1,5000000,games_video,0,0,1,0,0,0,3.0,0,closed
Pacinian,SPOKANE,4/1/2007,1/1/2012,12/1/2008,12/1/2008,1.6712,,1,350000,hardware,1,0,0,0,0,0,1.0,0,closed
neoSaej,Burlington,1/1/2006,6/1/2013,3/29/2007,12/21/2010,1.2384,1.0,5,13130000,web,1,0,1,0,0,0,2.0,1,closed
Kiha Software,Seattle,1/1/2008,8/1/2011,10/28/2010,10/28/2010,2.8247,0.0,1,20000000,software,0,0,1,0,0,0,1.0,0,closed
Vlingo,Cambridge,6/1/2006,,12/1/2006,9/16/2009,0.5014,2.0685,3,26500000,mobile,1,0,1,1,0,0,2.0,1,acquired
Tizor Systems,Maynard,1/1/2002,,9/12/2005,2/7/2006,3.6986,,2,15000000,enterprise,0,0,0,1,0,0,5.0,1,acquired
Cerona Networks,Frederick,1/1/2002,1/18/2012,4/21/2006,4/21/2006,4.3041,,1,2600000,public_relations,0,0,1,0,0,0,1.0,0,closed
Oorja Protonics,Fremont,1/1/2004,10/16/2012,5/25/2006,1/11/2010,2.3973,,4,21470000,cleantech,0,0,1,1,0,0,3.5,1,closed
Hurricane Party,Austin,5/1/2010,7/1/2012,5/1/2010,5/1/2010,0.0,0.274,1,20000,mobile,0,1,0,0,0,0,1.0,0,closed
Minekey,Sunnyvale,1/1/2005,8/18/2012,12/1/2006,8/1/2007,1.9151,2.0,2,3600000,web,0,1,1,0,0,0,1.0,0,closed
Blip,New York,5/1/2005,,3/1/2006,7/30/2012,0.8329,8.0055,7,27300000,games_video,0,1,1,1,1,1,2.0,1,acquired
Fabkids,San Francisco,1/1/2012,,8/2/2012,8/2/2012,0.5863,1.0493,1,2600000,ecommerce,0,0,1,0,0,0,2.0,0,acquired
CafeBots,Palo Alto,1/1/2010,10/1/2010,10/21/2010,10/21/2010,0.8027,0.0,1,5000000,web,0,0,1,0,0,0,1.0,1,closed
Avaak,San Diego,1/1/2004,,10/3/2008,3/22/2010,4.7589,3.6685,2,17000000,mobile,0,0,1,1,0,0,3.5,1,acquired
Newfield Design,West Newfield,1/1/2008,6/1/2013,5/14/2012,5/14/2012,4.3699,,1,662000,manufacturing,0,0,1,0,0,0,3.0,0,closed
Savored,New York,1/1/2010,,1/1/2010,1/10/2011,0.0,2.0055,2,3750000,hospitality,0,1,1,0,0,0,4.0,1,acquired
Digg,San Francisco,10/11/2004,,10/1/2005,7/12/2011,0.9726,5.2466,4,45000000,news,0,0,1,1,1,1,4.6667,1,acquired
Songza,Long Island City,11/1/2007,,9/19/2011,9/10/2013,3.8849,2.8356,2,6700000,music,1,0,0,0,0,0,8.0,1,acquired
Bigfoot Networks,Redwood City,1/1/2006,,3/6/2006,11/17/2009,0.1753,2.0,3,20750000,hardware,1,0,1,1,0,0,2.3333,1,acquired
Kongregate,San Francisco,1/1/2006,,3/1/2007,7/2/2013,1.1616,,4,19000000,games_video,0,0,1,1,1,0,2.0,1,acquired
Powerset,San Francisco,10/1/2006,,5/1/2006,6/1/2007,-0.4192,,3,22500000,search,1,0,1,0,0,0,4.0,1,acquired
Kiptronic,San Francisco,5/1/2005,,11/1/2005,6/5/2008,0.5041,2.2384,3,7300000,advertising,0,1,1,1,0,0,2.0,1,acquired
Cozi Group,Seattle,3/3/2005,1/31/2013,12/1/2005,12/27/2012,0.7479,4.3151,7,26390819,web,1,0,1,1,0,0,1.3333,1,closed
Likewise Software,Bellevue,11/1/2004,,4/30/2009,4/30/2009,4.4959,,1,10000000,software,0,0,0,0,1,0,3.0,1,acquired
Lifestander,NY,9/1/2010,6/1/2013,10/2/2010,10/2/2010,0.0849,0.0,1,31000,web,0,1,0,0,0,0,2.0,0,closed
Jaxtr,Menlo Park,10/1/2005,,7/1/2007,6/23/2008,1.7479,1.7479,3,21500000,mobile,0,0,1,1,0,0,3.3333,1,acquired
MX Logic,Englewood,1/1/2002,,11/7/2006,11/7/2006,4.8521,6.5863,1,4000000,security,0,0,0,0,0,0,5.0,1,acquired
Metaplace,Solana Beach,7/1/2006,,1/1/2007,3/15/2010,0.5041,2.9863,3,9400000,games_video,1,0,1,1,0,0,4.0,1,acquired
TravelMuse,New York,4/16/2007,,5/1/2007,6/1/2009,0.0411,1.7562,3,5600000,web,0,0,1,1,0,0,2.0,1,acquired
Jambool,San Francisco,8/1/2006,,8/1/2008,8/17/2009,2.0027,3.5836,2,6000000,finance,0,0,1,1,0,0,2.5,1,acquired
Zipcar,NW Atlanta,10/31/2000,,12/20/2002,12/15/2010,2.137,10.4164,4,60704370,transportation,1,0,0,1,0,1,2.0,1,acquired
Hitpost,San Francisco,4/1/2009,,1/1/2010,4/26/2012,0.7534,3.9178,3,2000000,sports,0,1,0,0,0,0,3.6667,1,acquired
Home-Account,San Francisco,11/1/2008,,4/16/2009,7/16/2009,0.4548,0.5808,2,1000000,finance,1,0,1,0,0,0,5.5,1,acquired
PayParade Pictures,Bala Cynwyd,10/17/2007,1/27/2012,12/1/2008,3/13/2009,1.126,0.7918,2,200000,games_video,0,1,1,0,0,0,2.0,1,closed
Planet Metrics,San Bruno,1/1/2007,2/7/2011,11/12/2008,11/12/2008,1.8658,0.0,1,2300000,cleantech,0,0,1,0,0,0,2.0,1,closed
kwiry,San Francisco,1/1/2006,4/23/2009,3/20/2008,3/20/2008,2.2164,0.7479,1,1000000,mobile,0,0,1,0,0,0,1.0,1,closed
imeem,San Francisco,11/1/2003,,9/1/2004,8/1/2009,0.8356,4.9781,5,24750000,music,1,1,1,1,0,0,2.4,1,acquired
Amadesa,Evanston,5/15/2005,7/1/2013,12/3/2007,10/5/2011,2.5534,6.6356,2,12800000,software,0,0,1,1,0,0,2.0,1,closed
Cast Iron Systems,Mountain View,1/1/2001,,3/28/2005,7/29/2007,4.2384,7.0027,2,30500000,enterprise,0,0,0,0,0,1,4.5,1,acquired
Aptera,Carlsbad,1/1/2003,12/1/2011,7/25/2008,7/13/2011,5.5671,5.6055,3,36300000,automotive,1,0,0,0,1,0,1.5,1,closed
RentJuice,San Francisco,1/1/2008,,3/4/2010,1/31/2011,2.1726,3.0877,3,6693782,real_estate,1,0,0,0,0,0,1.6667,1,acquired
Verari Systems,San Diego,1/1/1996,1/1/2010,6/5/2007,6/5/2007,11.4329,,1,20000000,hardware,0,0,0,0,1,0,5.0,1,closed
Parascale,Cupertino,1/1/2005,,6/23/2008,6/23/2008,3.4767,3.6849,1,11370000,network_hosting,0,0,1,0,0,0,2.0,1,acquired
Geni,West Hollywood,6/1/2006,,1/1/2007,1/19/2009,0.5863,3.5425,3,16500000,web,0,0,1,1,1,0,1.3333,1,acquired
Zentact,San Franciso,9/1/2008,1/1/2012,9/1/2008,9/1/2008,0.0,3.411,1,250000,network_hosting,0,1,0,0,0,0,3.0,0,closed
Outside.in,New York,8/1/2006,,2/1/2007,12/8/2009,0.5041,3.4219,5,14400000,web,0,1,1,1,0,0,5.8,1,acquired
Salesforce Buddy Media,New York,9/1/2007,,9/1/2007,8/15/2011,0.0,4.7616,5,90000000,enterprise,1,0,1,1,1,1,3.8,1,acquired
Vizu Corporation,San Francisco,2/14/2005,,2/20/2006,4/9/2012,1.0164,5.6959,4,13075000,advertising,0,0,1,1,0,0,4.0,1,acquired
Zing Systems,Mountain View,6/1/2007,,12/1/2006,1/1/2007,-0.4986,-0.4986,2,26000000,games_video,0,0,1,0,1,0,2.5,1,acquired
DynamicOps,Burlington,1/1/2008,,2/28/2011,9/9/2011,3.1616,3.0027,2,16300000,enterprise,0,0,0,1,0,0,2.0,1,acquired
Movero Technology,Austin,1/1/2003,6/1/2013,6/14/2007,3/23/2010,4.4521,7.0055,2,5992316,enterprise,1,0,1,0,0,0,2.0,0,acquired
Elevation Pharmaceuticals,San Diego,1/1/2007,,1/21/2010,1/4/2012,3.0575,,4,89400001,biotech,1,0,1,1,0,0,4.3333,1,acquired
Punch Entertainment,Palo Alto,5/10/2005,4/16/2012,2/27/2006,2/27/2006,0.8027,5.3151,1,1200000,software,0,0,1,0,0,0,1.0,0,closed
Stickybits,New York,1/1/2009,8/1/2012,3/9/2010,5/19/2010,1.1836,1.3288,2,1900000,web,0,1,1,0,0,0,2.5,1,closed
Ecast,San Francisco,1/1/1999,2/12/2012,5/7/2008,5/26/2011,9.3534,7.0055,3,30300000,games_video,1,0,0,0,0,1,4.5,1,closed
lifeIO,New York,8/29/2006,3/3/2012,8/29/2008,8/29/2008,2.0027,,1,500000,web,0,1,0,0,0,0,5.0,0,closed
EdgeCast Networks,Santa Monica,8/1/2006,,8/1/2006,7/18/2013,0.0,6.4247,5,74000000,network_hosting,0,1,1,1,1,1,1.75,1,acquired
Sirific Wireless,Richardson,1/1/2000,,2/12/2007,2/12/2007,7.1205,,1,18800000,semiconductor,0,0,0,0,1,0,7.0,1,acquired
Revetto,Zeeland,1/1/2009,5/18/2009,5/1/2009,5/1/2009,0.3288,-0.4192,1,20000,web,0,1,0,0,0,0,1.0,0,closed
ZoomSafer,Herndon,1/1/2009,,3/1/2009,3/7/2011,0.1616,1.5096,4,3350000,mobile,0,1,1,1,0,0,1.5,0,acquired
AkaRx,Paramus,1/1/2005,,1/7/2010,1/7/2010,5.0192,,1,26100000,biotech,1,0,0,0,0,0,2.0,1,acquired
Lama Lab,Pittsburgh,1/1/2009,6/1/2013,5/31/2010,7/8/2011,1.411,,2,1213066,enterprise,1,0,0,0,0,0,1.0,1,closed
Buysight,Palo Alto,1/1/2008,,11/4/2008,3/21/2012,0.8438,0.7616,3,24030000,advertising,0,0,1,1,0,0,3.6667,1,acquired
TripIt,San Francisco,10/1/2006,,4/1/2007,3/4/2010,0.4986,1.9863,3,13100000,travel,0,1,0,1,1,0,1.6667,1,acquired
Pinch Media,New York,4/1/2008,,5/1/2008,1/6/2010,0.0822,0.3014,3,560001,software,1,1,0,0,0,0,3.5,1,acquired
Enstratius,Minneapolis,1/1/2009,,11/7/2011,11/7/2011,2.8493,2.9068,1,3500000,enterprise,0,0,1,0,0,0,2.0,1,acquired
Jumptap,Boston,1/1/2005,,3/1/2005,7/2/2012,0.1616,7.0521,7,121500000,mobile,1,0,1,1,1,1,4.5,1,acquired
